numFingers,firstStroke,secondStroke,key
1,northwest,west,Q
1,northwest,center,W
1,northwest,east,E
1,north,west,R
1,north,northwest,T
1,north,northeast,Y
1,north,east,U
1,northeast,west,I
1,northeast,center,O
1,northeast,east,P
1,west,west,A
1,west,center,S
1,west,east,D
1,center,west,F
1,center,center,G
1,center,east,H
1,east,west,J
1,east,center,K
1,east,east,L
1,southwest,west,Z
1,southwest,center,X
1,southwest,east,C
1,south,west,V
1,south,center,B
1,south,east,N
1,southeast,west,M
1,southeast,east,.
1,southeast,southeast,_